iter	Logloss
0	0.6728289683
1	0.6555679194
2	0.6400781898
3	0.6282839112
4	0.6181570708
5	0.6086968929
6	0.6006885196
7	0.5941674289
8	0.5880104822
9	0.5829040544
10	0.5791269972
11	0.5748847999
12	0.5716327442
13	0.5693373564
14	0.5669307664
15	0.5643107407
16	0.5623909103
17	0.5604510143
18	0.5586267161
19	0.5575456858
20	0.5565997643
21	0.5556354676
22	0.5544479096
23	0.5533516716
24	0.5524193022
25	0.5516657762
26	0.5510163153
27	0.5505572682
28	0.5499025178
29	0.5495622849
30	0.5492228282
31	0.5485925788
32	0.5481007858
33	0.5476211078
34	0.5471753686
35	0.5471245465
36	0.5468382815
37	0.5464296419
38	0.5462548067
39	0.5458569123
40	0.5454502072
41	0.5453730485
42	0.545162521
43	0.5449293369
44	0.5446859477
45	0.5446151765
46	0.5443458477
47	0.5442213974
48	0.5438895118
49	0.5436057572
50	0.5433954532
51	0.5433066905
52	0.5431553808
53	0.5430225042
54	0.5429525358
55	0.5428870883
56	0.5428154835
57	0.5426498351
58	0.5425303507
59	0.5424615464
60	0.5421544505
61	0.542026556
62	0.5418865277
63	0.5418358594
64	0.5416328024
65	0.5415644329
66	0.5414148492
67	0.5413277078
68	0.5411184724
69	0.5410946102
70	0.5410215674
71	0.5406866703
72	0.5405740834
73	0.540458167
74	0.5404289005
75	0.5402807952
76	0.5402186904
77	0.5401359762
78	0.5400146788
79	0.5398795284
80	0.539833314
81	0.5397817831
82	0.5397109321
83	0.5396945688
84	0.5396038914
85	0.5393101565
86	0.539245643
87	0.5391623534
88	0.539058724
89	0.5390131147
90	0.5388973229
91	0.5388403497
92	0.5387819272
93	0.5387734939
94	0.5386669124
95	0.5383395676
96	0.5382800966
97	0.5382389834
98	0.5382011931
99	0.5381581577
100	0.5380937197
101	0.538014545
102	0.5380078823
103	0.5378908196
104	0.5378901208
105	0.5378616591
106	0.5378291358
107	0.5378151659
108	0.5377662577
109	0.5377591951
110	0.5376064991
111	0.5375241189
112	0.5374613375
113	0.5373953176
114	0.5373952632
115	0.5373266045
116	0.53729612
117	0.5372203235
118	0.5371533286
119	0.5371016746
120	0.5370297308
121	0.5369402654
122	0.5369216713
123	0.5368927567
124	0.5368142596
125	0.5367584682
126	0.5367346317
127	0.5366995527
128	0.5366598225
129	0.5366063318
130	0.5365919558
131	0.5365692121
132	0.5365577409
133	0.536380655
134	0.5363077897
135	0.5362849378
136	0.5362577775
137	0.5362224377
138	0.5361574161
139	0.5360545052
140	0.5360196756
141	0.5359423982
142	0.5357599616
143	0.5356910353
144	0.5355362321
145	0.5354832909
146	0.535177946
147	0.5351140738
148	0.5350385619
149	0.5350171311
150	0.534944266
151	0.5349167353
152	0.5348208005
153	0.5347830328
154	0.534682074
155	0.5344269417
156	0.5343733252
157	0.5342167813
158	0.5340617186
159	0.5339748349
160	0.533939682
161	0.5338606171
162	0.5336303983
163	0.5335000526
164	0.5334115152
165	0.5333480514
166	0.533254806
167	0.5330004684
168	0.5329409622
169	0.5327552825
170	0.532532274
171	0.5323591141
172	0.5323057058
173	0.5321038927
174	0.5320796664
175	0.5319730235
176	0.5319264774
177	0.5318760451
178	0.5316760299
179	0.5315678416
180	0.5315081969
181	0.5314441442
182	0.5313352911
183	0.5312969563
184	0.5312397412
185	0.531114493
186	0.5309574258
187	0.5308090671
188	0.5306361799
189	0.5305913227
190	0.5304377111
191	0.5303851632
192	0.5303527696
193	0.5302861732
194	0.5302541565
195	0.5301732802
196	0.5301164302
197	0.5300316904
198	0.52998169
199	0.5299384695
200	0.5298714478
201	0.5298290692
202	0.5297677008
203	0.5297435934
204	0.5296934291
205	0.5296337411
206	0.5294604966
207	0.5294181124
208	0.5293626592
209	0.5291726062
210	0.5291269994
211	0.5290399359
212	0.5289394691
213	0.5289078873
214	0.5288666257
215	0.5288075148
216	0.5285997585
217	0.5284845538
218	0.528433644
219	0.5283626872
220	0.5282634369
221	0.5281935658
222	0.5280932026
223	0.5280352208
224	0.5280002481
225	0.5279212509
226	0.5278766015
227	0.5278580618
228	0.5278104123
229	0.5277797387
230	0.5276661519
231	0.5276286996
