iter	Logloss
0	0.6918253745
1	0.6906605747
2	0.689330042
3	0.6880602841
4	0.6867789849
5	0.6855714004
6	0.6844050579
7	0.6831961048
8	0.6819820282
9	0.6807694211
10	0.6796665881
11	0.6784992392
12	0.677329022
13	0.6761726492
14	0.6751064846
15	0.6739805209
16	0.6728490363
17	0.671670175
18	0.6705749441
19	0.6694303866
20	0.668366875
21	0.6673034862
22	0.6662046571
23	0.6651651359
24	0.6641011097
25	0.6630879992
26	0.6620288279
27	0.661051809
28	0.6601110575
29	0.65909163
30	0.6580734593
31	0.6571143436
32	0.6561894174
33	0.6552798586
34	0.654366064
35	0.6534023414
36	0.6524474589
37	0.6515340619
38	0.650586386
39	0.6496583343
40	0.6487975089
41	0.6479310993
42	0.647028384
43	0.6461749781
44	0.645273996
45	0.6444256364
46	0.6435454028
47	0.6426810361
48	0.6418515456
49	0.641034305
50	0.6402837456
51	0.6394433561
52	0.6386441387
53	0.637835063
54	0.6370266256
55	0.6362129671
56	0.6353678597
57	0.6345264956
58	0.6337603888
59	0.6329658586
60	0.6321816468
61	0.6313972033
62	0.6306236712
63	0.6298733584
64	0.6291298494
65	0.6284060641
66	0.6276323171
67	0.6269825154
68	0.6263474338
69	0.6255895714
70	0.6248959411
71	0.6241964979
72	0.6235282275
73	0.6228610602
74	0.6221398216
75	0.6214917486
76	0.6208597509
77	0.6202173742
78	0.6195209211
79	0.618855502
80	0.6182090182
81	0.6175281528
82	0.6169606245
83	0.6163674285
84	0.6157358171
85	0.6151556924
86	0.6145200121
87	0.6138902526
88	0.6132411433
89	0.612634275
90	0.6120388361
91	0.6114474245
92	0.610852494
93	0.6102816991
94	0.6097342853
95	0.6091772966
96	0.6086569802
97	0.6081215626
98	0.6075652615
99	0.6070547541
100	0.6065342464
101	0.6060203539
102	0.6055172699
103	0.6049965341
104	0.604479639
105	0.6039566528
106	0.6034727102
107	0.6029466994
108	0.6024155535
109	0.6019264982
110	0.6014417055
111	0.6009096962
112	0.6004686222
113	0.6000091121
114	0.5995132039
115	0.5990438398
116	0.5985543304
117	0.5981172185
118	0.5976522026
119	0.5971530168
120	0.5967213809
121	0.5963075138
122	0.5958730919
123	0.5954765728
124	0.5950021567
125	0.5945816107
126	0.5941984121
127	0.5938150847
128	0.5933766367
129	0.5929649215
130	0.5925654128
131	0.5921563091
132	0.5917690856
133	0.5913693978
134	0.5909570465
135	0.5905954856
136	0.5902254137
137	0.5898216314
138	0.5894287544
139	0.5890441605
140	0.5886650514
141	0.5883028007
142	0.5879448821
143	0.5875622033
144	0.5871958435
145	0.5868250361
146	0.5864530076
147	0.5860696359
148	0.5857455872
149	0.5853905975
150	0.5850218859
151	0.5846864577
152	0.5843281191
153	0.5839712486
154	0.5836312862
155	0.5832916704
156	0.5829487954
157	0.5826208753
158	0.5823093621
159	0.5819949748
160	0.5816616323
161	0.5813375635
162	0.581006145
163	0.5807065043
164	0.5804135881
165	0.5800970588
166	0.5797850162
167	0.57951144
168	0.5791836605
169	0.5788765575
170	0.5785803155
171	0.5782979115
172	0.577987558
173	0.5776785679
174	0.5773568571
175	0.5770699562
176	0.5768007801
177	0.576518011
178	0.5762198572
179	0.5759449616
180	0.5756617788
181	0.5753706542
182	0.5750812137
183	0.5748112138
184	0.5745363699
185	0.5742644033
186	0.5739856942
187	0.5737468852
188	0.5734624042
189	0.5731749431
190	0.5729222639
191	0.5726663372
192	0.5724154331
193	0.5721748935
194	0.57191494
195	0.5716577047
196	0.5714123558
197	0.5711799051
198	0.5709511887
199	0.5706851009
200	0.5704605003
201	0.570243407
202	0.5699929683
203	0.5697876846
204	0.5695687664
205	0.569327326
206	0.5690810718
207	0.5688686095
208	0.5686470585
209	0.5684139281
210	0.5681553543
211	0.567936877
212	0.567714177
213	0.5675010274
214	0.5672820561
215	0.5670670942
216	0.5668288987
217	0.5666297596
218	0.5664002351
219	0.5661998857
220	0.5659943484
221	0.5657688777
222	0.5655722918
223	0.5653854395
224	0.5651950025
225	0.5650147456
