iter	Passed	Remaining
400	8275	3033
401	8290	3011
402	8307	2989
403	8323	2966
404	8337	2943
405	8353	2921
406	8370	2899
407	8388	2878
408	8404	2856
409	8420	2834
410	8437	2812
411	8455	2791
412	8471	2769
413	8489	2747
414	8506	2726
415	8525	2705
416	8542	2683
417	8558	2661
418	8575	2640
419	8593	2618
420	8610	2597
421	8625	2575
422	8643	2554
423	8659	2532
424	8676	2511
425	8693	2489
426	8710	2468
427	8728	2447
428	8745	2425
429	8764	2405
430	8782	2384
431	8799	2362
432	8817	2341
433	8837	2321
434	8856	2300
435	8873	2279
436	8890	2258
437	8905	2236
438	8923	2215
439	8938	2194
440	8956	2173
441	8973	2151
442	8989	2130
443	9006	2109
444	9025	2089
445	9042	2068
446	9058	2046
447	9072	2025
448	9088	2003
449	9102	1982
450	9120	1961
451	9136	1940
452	9152	1919
453	9171	1898
454	9188	1878
455	9204	1857
456	9220	1835
457	9236	1815
458	9253	1794
459	9268	1773
460	9283	1751
461	9300	1731
462	9318	1710
463	9335	1689
464	9350	1669
465	9366	1648
466	9380	1627
467	9396	1606
468	9413	1585
469	9437	1566
470	9453	1545
471	9473	1525
472	9489	1504
473	9505	1484
474	9520	1463
475	9537	1442
476	9554	1422
477	9568	1401
478	9582	1380
479	9598	1359
480	9612	1338
481	9627	1318
482	9644	1297
483	9659	1277
484	9674	1256
485	9690	1236
486	9706	1215
487	9721	1195
488	9736	1174
489	9754	1154
490	9770	1134
491	9787	1113
492	9803	1093
493	9819	1073
494	9836	1053
495	9852	1032
496	9867	1012
497	9883	992
498	9900	972
499	9916	951
500	9932	931
501	9947	911
502	9962	891
503	9978	871
504	9994	851
505	10009	830
506	10024	810
507	10041	790
508	10057	770
509	10072	750
510	10087	730
511	10103	710
512	10122	690
513	10138	670
514	10154	650
515	10172	630
516	10191	611
517	10212	591
518	10232	571
519	10256	552
520	10273	532
521	10291	512
522	10324	493
523	10345	473
524	10364	454
525	10397	434
526	10419	415
527	10435	395
528	10453	375
529	10469	355
530	10485	335
531	10503	315
532	10520	296
533	10538	276
534	10555	256
535	10572	236
536	10592	216
537	10617	197
538	10666	178
539	10695	158
540	10721	138
541	10741	118
542	10760	99
543	10783	79
544	10802	59
545	10823	39
546	10841	19
547	10863	0
